Prioridad,Lakehouse,Esquema,source_table,target_table,Campo_001,Campo_002,Campo_003,Campo_004,Campo_005,Campo_006,Campo_007,Campo_008,Campo_009,Campo_010,Campo_011,Campo_012,Campo_013,Campo_014,Campo_015,Campo_016,Campo_017,Campo_018,Campo_019,Campo_020,Campo_021,Campo_022,Campo_023,Campo_024,Campo_025,Campo_026,Campo_027,Campo_028,Campo_029,Campo_030,Campo_031,Campo_032,Campo_033,Campo_034,Campo_035,Campo_036,Campo_037,Campo_038,Campo_039,Campo_040,Campo_041,Campo_042,Campo_043,Campo_044,Campo_045,Campo_046,Campo_047,Campo_048,Campo_049,Campo_050,Campo_051,Campo_052,Campo_053,Campo_054,Campo_055,Campo_056,Campo_057,Campo_058,Campo_059,Campo_060,Campo_061,Campo_062,Campo_063,Campo_064,Campo_065,Campo_066,Campo_067,Campo_068,Campo_069,Campo_070,Campo_071,Campo_072,Campo_073,Campo_074,Campo_075,Campo_076,Campo_077,Campo_078,Campo_079,Campo_080,Campo_081,Campo_082,Campo_083,Campo_084,Campo_085,Campo_086,Campo_087,Campo_088,Campo_089,Campo_090,Campo_091,Campo_092,Campo_093,Campo_094,Campo_095,Campo_096,Campo_097,Campo_098,Campo_099,Campo_100,Campo_101,Campo_102,Campo_103,Campo_104,Campo_105,Campo_106,Campo_107,Campo_108,Campo_109,Campo_110,Campo_111,Campo_112,Campo_113,Campo_114,Campo_115,Campo_116,Campo_117,Campo_118,Campo_119,Campo_120,Campo_121,Campo_122,Campo_123,Campo_124,Campo_125,Campo_126,Campo_127,Campo_128,Campo_129,Campo_130,Campo_131,Campo_132,Campo_133,Campo_134,Campo_135,Campo_136,Campo_137,Campo_138,Campo_139,Campo_140,Campo_141,Campo_142,Campo_143,Campo_144,Campo_145,Campo_146,Campo_147,Campo_148,Campo_149,Campo_150,Campo_151,Campo_152,Campo_153,Campo_154,Campo_155,Campo_156,Campo_157,Campo_158,Campo_159,Campo_160,Campo_161,Campo_162,Campo_163,Campo_164,Campo_165,Campo_166,Campo_167,Campo_168,Campo_169,Campo_170,Campo_171,Campo_172,Campo_173,Campo_174,Campo_175,Campo_176,Campo_177,Campo_178,Campo_179,Campo_180,Campo_181,Campo_182,Campo_183,Campo_184,Campo_185,Campo_186,Campo_187,Campo_188,Campo_189,Campo_190,Campo_191,Campo_192,Campo_193,Campo_194,Campo_195,Campo_196,Campo_197,Campo_198,Campo_199,Campo_200,Campo_201,Campo_202,Campo_203,Campo_204,Campo_205,Campo_206,Campo_207,Campo_208,Campo_209,sap_Client,sap_CreatedBy,sap_CreatedOn,sap_LastChangedBy,sap_LastChangedOn,sap_DataSource,sap_LogicalSystem,sap_DataPackage,Notas_SAP
1,lh_silver_erp,ecp,companies,companies,company_id,company_code,alias,name,short_name,company_address,work_address,isvalid,type,record_id,last_updated_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,lh_bronze_qad2,ecp,XXENT_MSTR,companies,XXENT_INDEX,XXENT_ENT_DOMAIN,XXENT_ALIAS,XXENT_NAME,XXENT_SHORTNAME,XXENT_PR,XXENT_WK,XXENT_ISVALID,XXENT_TYPE,PROGRESS_RECID,current_timestamp(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,lh_bronze_sap_rise,ecp,ICOMPANYCODE,companies,CompanyCode,CompanyCode,,,,,,,,,LastChangeDateTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client,CreatedByUser,CreationDate,LastChangedByUser,LastChangeDate,DataSource,LogicalSystem,DataPackage,
1,lh_silver_erp,ecp,employee_items,employee_items,employee_id,company_address,work_address,cost_center_id,employment_type,organizational_unit,custom_string_01,custom_string_02,custom_string_03,custom_decimal_01,custom_decimal_02,custom_decimal_03,custom_flag_01,custom_datetime_01,job_level,work_state_code,time_clock_code,manager_id,personnel_file_complete_flag,personnel_file_comment,custom_string_04,custom_string_05,custom_string_06,custom_decimal_04,custom_decimal_05,custom_decimal_06,custom_flag_02,custom_datetime_02,contract_type,contract_end_date,bonus_amount_1,bonus_amount_2,bonus_amount_3,bonus_amount_4,bonus_amount_5,uniform_size_1,uniform_size_2,uniform_size_3,uniform_size_4,uniform_size_5,uniform_size_6,uniform_size_7,uniform_size_8,uniform_size_9,uniform_size_10,driver_license_number,driver_license_class,driver_license_expiration_date,source_oid,custom_string_07,custom_string_08,custom_string_09,custom_string_10,custom_decimal_07,custom_decimal_08,custom_decimal_09,custom_decimal_10,custom_datetime_03,custom_datetime_04,custom_datetime_05,custom_datetime_06,custom_flag_03,custom_flag_04,custom_flag_05,record_id,custom_flag_06,company_code,last_updated_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,lh_bronze_qad2,ecp,XXEMPX_MSTR,employee_items,XXEMPX_ADDR,XXEMPX_ENTPR_ADDR,XXEMPX_ENTWK_ADDR,XXEMPX_AC_CODE,XXEMPX_TYPE_EMP,XXEMPX_TEAM,XXEMPX__CHR01,XXEMPX__CHR02,XXEMPX__CHR03,XXEMPX__DEC01,XXEMPX__DEC02,XXEMPX__DEC03,XXEMPX__LOG01,XXEMPX__DTE01,XXEMPX_LEVEL,XXEMPX_STATE_WK,XXEMPX_CVECHECAR,XXEMPX_BOSS,XXEMPX_COMPLETE_FILE,XXEMPX_CMMT_FILE,XXEMPX__CHR04,XXEMPX__CHR05,XXEMPX__CHR06,XXEMPX__DEC04,XXEMPX__DEC05,XXEMPX__DEC06,XXEMPX__LOG02,XXEMPX__DTE02,XXEMPX_CONTRACT_TYPE,XXEMPX_CONTRACT_DUEDATE,`XXEMPX_BONUS##1`,`XXEMPX_BONUS##2`,`XXEMPX_BONUS##3`,`XXEMPX_BONUS##4`,`XXEMPX_BONUS##5`,`XXEMPX_SIZE##1`,`XXEMPX_SIZE##2`,`XXEMPX_SIZE##3`,`XXEMPX_SIZE##4`,`XXEMPX_SIZE##5`,`XXEMPX_SIZE##6`,`XXEMPX_SIZE##7`,`XXEMPX_SIZE##8`,`XXEMPX_SIZE##9`,`XXEMPX_SIZE##10`,XXEMPX_DLNUMBER,XXEMPX_DLTYPE,XXEMPX_DLDATE,OID_XXEMPX_MSTR,XXEMPX__CHR07,XXEMPX__CHR08,XXEMPX__CHR09,XXEMPX__CHR10,XXEMPX__DEC07,XXEMPX__DEC08,XXEMPX__DEC09,XXEMPX__DEC10,XXEMPX__DTE03,XXEMPX__DTE04,XXEMPX__DTE05,XXEMPX__DTE06,XXEMPX__LOG03,XXEMPX__LOG04,XXEMPX__LOG05,PROGRESS_RECID,XXEMPX__LOG06,XXEMPX_DOMAIN,current_timestamp(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,lh_bronze_sap_rise,ecp,IBUSINESSPART,employee_items,,,,CostCenter,,,,,,,,,,DocumentDate,,,,,,,,,,,,,,DocumentDate,,DocumentDate,AmountInCompanyCodeCurrency,AmountInCompanyCodeCurrency,AmountInCompanyCodeCurrency,AmountInCompanyCodeCurrency,AmountInCompanyCodeCurrency,,,,,,,,,,,,,DocumentDate,,,,,,,,,,DocumentDate,DocumentDate,DocumentDate,DocumentDate,,,,,,CompanyCode,LastChangeDateTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client,CreatedByUser,CreationDate,LastChangedByUser,LastChangeDate,DataSource,LogicalSystem,DataPackage,
1,lh_silver_erp,ecp,employees,employees,employee_id,lname,fname,line1,line2,city,state,zip,country,phone,bs_phone,ext,ssn,birthday,emp_date,trm_date,status,freq,pay_type,pay_rate,marital,exempt,storage_location_id,project_id,dept,units,sick_hrs,vac_hrs,title,wc_class,last_pay,last_dt,line3,user1,cost_center_id,segment_id,user4,user5,user6,bank,ad_bank,ad_acc1,ad_amt1,ad_pct1,ad_acc2,ad_amt2,ad_pct2,chr01,chr02,chr03,chr04,chr05,dte01,dte02,dte03,dte04,dte05,dec01,dec02,log01,log02,mod_date,user_id,ad_bank2,transit1,transit2,ad_type1,ad_type2,shift,ctry,company_code,record_id,last_updated_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,lh_bronze_qad2,ecp,EMP_MSTR,employees,EMP_ADDR,EMP_LNAME,EMP_FNAME,EMP_LINE1,EMP_LINE2,EMP_CITY,EMP_STATE,EMP_ZIP,EMP_COUNTRY,EMP_PHONE,EMP_BS_PHONE,EMP_EXT,EMP_SSN,EMP_BIRTHDAY,EMP_EMP_DATE,EMP_TRM_DATE,EMP_STATUS,EMP_FREQ,EMP_PAY_TYPE,EMP_PAY_RATE,EMP_MARITAL,EMP_EXEMPT,EMP_WK_LOC,EMP_PROJECT,EMP_DEPT,EMP_UNITS,EMP_SICK_HRS,EMP_VAC_HRS,EMP_TITLE,EMP_WC_CLASS,EMP_LAST_PAY,EMP_LAST_DT,EMP_LINE3,EMP_USER1,EMP_USER2,EMP_USER3,EMP_USER4,EMP_USER5,EMP_USER6,EMP_BANK,EMP_AD_BANK,EMP_AD_ACC1,EMP_AD_AMT1,EMP_AD_PCT1,EMP_AD_ACC2,EMP_AD_AMT2,EMP_AD_PCT2,EMP__CHR01,EMP__CHR02,EMP__CHR03,EMP__CHR04,EMP__CHR05,EMP__DTE01,EMP__DTE02,EMP__DTE03,EMP__DTE04,EMP__DTE05,EMP__DEC01,EMP__DEC02,EMP__LOG01,EMP__LOG02,EMP_MOD_DATE,EMP_USERID,EMP_AD_BANK2,EMP_TRANSIT1,EMP_TRANSIT2,EMP_AD_TYPE1,EMP_AD_TYPE2,EMP_SHIFT,EMP_CTRY,EMP_DOMAIN,PROGRESS_RECID,current_timestamp(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,lh_bronze_sap_rise,ecp,IBUSINESSPART,employees,,,,,,,,,,,,,,,DocumentDate,DocumentDate,,,,,,,,WBSElementInternalID,,,,,,,,,,,CostCenter,Segment,,,,,,,,,,,,,,,,,,,,,,,,,,DocumentDate,,,,,,,,,CompanyCode,,LastChangeDateTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client,CreatedByUser,CreationDate,LastChangedByUser,LastChangeDate,DataSource,LogicalSystem,DataPackage,
1,lh_silver_erp,ecp,payroll_companies,payroll_companies,company_address,description,chr01,chr02,chr03,dec01,dec02,dec03,log01,date01,oid_xxemtpr_mstr,company_code,record_id,last_updated_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
